Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-252.2315	-319.3044	67.07291	0.00715454	0.0981001	0.458349	0.436396	1.435316	1.665591	1.027177	2.565134
6	-247.6364	-313.6144	65.978	0.148805	0.0452626	0.211478	0.594454	5.063892	1.797207	0.5829125	1.405185
12	-250.0877	-319.1194	69.03166	0.365733	0.111246	0.474214	0.048806	0.9368446	1.94911	0.5829125	0.8197988
18	-250.687	-320.5252	69.8382	0.0587761	0.261532	0.637051	0.0426408	0.5029962	1.860116	0.6421644	0.5472146
24	-250.3089	-319.5305	69.22158	0.0625505	0.548527	0.0452709	0.343652	1.071601	1.685073	0.8006728	0.6505565
30	-262.6808	-332.0503	69.36946	0.108664	0.414633	0.0786454	0.398058	0.9109966	2.0906	0.6999359	0.2692998
36	-267.4488	-335.4056	67.95674	0.00542437	0.213226	0.299521	0.481828	1.65347	2.400388	0.2616745	0.6369121
42	-261.7191	-322.9562	61.23708	0.379382	0.256952	0.1808	0.182866	2.341869	1.547692	0.7357227	23.45851
48	-260.3205	-324.7999	64.47941	0.139144	0.4983	0.00793035	0.354626	5.011291	1.679242	0.4820939	3.902067
54	-256.2805	-324.8149	68.53433	0.00206721	0.434484	0.122423	0.441026	0.8320039	2.542143	0.2319288	0.6233026
60	-259.2967	-327.9365	68.63975	0.101333	0.0829469	0.363527	0.452193	1.647672	1.422843	0.7219875	1.016249
66	-260.76	-326.4904	65.73038	0.340858	0.115796	0.419349	0.123997	3.428999	1.241561	1.779242	1.785725
72	-249.2773	-316.8251	67.54781	0.439575	0.0775681	0.195224	0.287634	3.062035	1.62033	0.7250132	0.9264598
78	-251.0324	-319.4658	68.43343	0.171175	0.391006	0.185209	0.25261	0.8282731	1.71032	0.4973951	1.88158
84	-251.9906	-321.5817	69.59116	0.0855392	0.372695	0.0879643	0.453801	0.7969374	1.864139	0.5218123	0.5162217
90	-253.5127	-319.1312	65.61853	0.0627608	0.0208475	0.544741	0.371651	2.633816	1.834355	0.5995031	3.772702
